
(18 rows affected)
D|Label|ShiftId|Cnt
-|-----|-------|---
2026-08-23|0|4|1
2026-08-24|0|4|1
2026-08-25|0|4|1
2026-08-26|0|4|1
2026-08-27|0|4|1
2026-08-29|0|4|1
2026-08-31|0|4|1
2026-09-01|0|4|1
2026-09-02|0|4|1
2026-09-03|0|4|1
2026-09-05|0|4|1
2026-09-06|0|4|1
2026-09-07|0|4|1
2026-09-08|0|4|1
2026-09-09|0|4|1
2026-09-10|0|4|1
2026-09-12|0|4|1
2026-09-13|0|4|1
2026-09-14|0|4|1
2026-09-15|0|4|1
2026-09-16|0|4|1
2026-09-17|0|4|1
2026-09-19|0|4|1
2026-09-20|0|4|1
2026-09-21|0|4|1
2026-09-22|0|4|1

(26 rows affected)
